,DATE,MARKET_CAP,MATIC_AVERAGE_PRICE,CIRCULATING_SUPPLY,HOLDERS
219,2020-12-13,69516990.2454837,0.01809808567,3841123946.55477,15362
220,2021-02-16,466253424.735408,0.1083091936,4304837006.07696,23886
221,2020-11-03,44840360.7678931,0.01306811125,3431280918.13452,12993
222,2020-09-17,59792125.1881867,0.01998802974,2991396648.7641,9628
223,2022-01-01,16414419736.1733,2.555986309,6421951354.4397,310421
224,2022-02-04,10392142413.4303,1.600615261,6492592357.94711,344054
225,2022-06-29,3647842781.11474,0.5143339959,7092361792.75887,432094
226,2020-10-19,46936700.5038959,0.01664916519,2819162400.90783,12375
227,2020-10-12,51084948.3704054,0.01810096496,2822222377.50622,11506
228,2020-09-08,53967958.3506622,0.0183600734,2939419530.89426,9599
229,2021-01-02,69780087.4788905,0.01836127234,3800394994.03667,16793
230,2021-03-04,886255153.753495,0.218939267,4047949761.86879,30362
231,2020-11-14,63583481.6826066,0.01652179794,3848460193.35505,13880
232,2020-09-16,58527535.0631376,0.0199112561,2939419530.89426,9599
233,2020-06-23,74281525.6970094,0.02228124836,3333813460.93216,3852
234,2021-06-17,7837138594.55503,1.508461887,5195450188.8137,71899
235,2021-07-09,5495153800.42869,1.044572718,5260671380.86894,71996
236,2021-08-25,7792389876.53754,1.499014195,5198342953.71832,130672
237,2022-03-11,9166739663.47011,1.432046431,6401146962.816,376029
238,2020-08-17,87982753.3884734,0.0299444553,2938198491.67598,8936
239,2022-06-22,3018855172.27142,0.4210876087,7169185485.5956,430823
240,2022-07-04,3311179098.35542,0.4673618088,7084830288.17006,432786
241,2020-12-11,66858996.3126754,0.01741851601,3838386477.28329,15703
242,2020-11-29,72627125.5149258,0.0186751571,3888969989.2765,15581
243,2021-04-07,1699324075.43874,0.3537280572,4804040959.41702,51419
244,2021-11-21,10566765753.048,1.631478904,6476801955.14009,252697
245,2021-01-11,109949161.249093,0.02679809065,4102872950.19283,18497
246,2021-06-12,6492961770.22725,1.262222237,5144071766.77672,71795
247,2021-06-05,8314302543.1721,1.616288209,5144071766.77671,71795
248,2021-08-09,5926548475.90953,1.106647096,5355409593.78866,109455
249,2022-04-30,7376598292.01612,1.127330179,6543423059.41058,403928
250,2022-06-01,4296858883.27677,0.6339865822,6777523379.57949,421522
251,2020-07-29,59300941.355754,0.0203712018,2911018306.71993,6680
252,2020-10-08,46605181.613387,0.01644391481,2834190163.28505,10898
253,2020-06-06,67313805.0791732,0.02059649012,3268217288.48433,3361
254,2020-10-20,44586335.2460147,0.01586643222,2810104667.38025,12410
255,2020-08-24,78716116.5940008,0.02690674453,2925516184.66463,9592
256,2020-07-10,64289301.4984341,0.0205761003,3124464819.23766,5299
257,2021-08-13,7550570884.80136,1.409431618,5357174331.64888,115462
258,2021-11-17,10139207573.0579,1.572955992,6445957564.03539,245790
259,2021-11-15,11151684046.204,1.730167428,6445436359.39823,242750
260,2021-11-10,11565098792.3039,1.806501092,6401932910.24026,234659
261,2022-01-07,13634239701.0664,2.136014744,6383026962.07009,324205
262,2022-01-25,9684151732.9327,1.486778375,6513513982.36765,330257
263,2022-03-26,10223649287.537,1.592568873,6419596325.9929,383550
264,2022-05-21,4327901424.49652,0.642995286,6730844717.71088,417340
265,2022-03-20,9581455297.29198,1.493095546,6417174924.0103,379194
266,2021-05-01,4251935276.10182,0.8078358447,5263365452.12233,66451
267,2021-09-18,7632701757.0623,1.386861286,5503579800.35115,161038
268,2021-06-16,8181744867.58996,1.574790359,5195450188.8137,71899
269,2021-07-11,5459797044.29717,1.037851759,5260671380.86894,71996
270,2021-10-23,9044545657.65024,1.582265349,5716200295.61594,200000
271,2021-10-14,7105915629.48081,1.25846144,5646510417.97111,189831
272,2022-03-23,9747888312.14227,1.520517949,6410899864.40447,381352
273,2022-05-05,7332134857.47869,1.121568296,6537394896.53262,405182
274,2020-11-17,67583414.7442701,0.01759015565,3842115789.01677,14171
275,2020-11-16,63815918.20178,0.0166004973,3844217257.71276,14053
276,2021-12-16,13831249128.6601,2.140043324,6463069682.91227,280551
277,2020-07-19,64296378.0625012,0.0212346156,3027904025.22202,6005
278,2020-07-31,59138090.875735,0.02039295607,2899927341.0527,6789
279,2020-09-03,65260015.5419287,0.02220166766,2939419530.89426,9599
280,2021-07-26,5571325713.84798,1.046322702,5324672496.59547,92371
281,2021-09-03,7779922084.19854,1.45836627,5334683230.57185,140431
282,2021-11-05,12176344336.0225,1.90752349,6383326023.14715,225899
283,2022-03-29,10896547829.92,1.693904241,6432800370.03714,386020
284,2022-04-10,9529289162.52028,1.463290585,6512232950.99207,392721
285,2022-06-28,3757125172.47701,0.5298984528,7090273905.19196,431244
286,2020-09-11,59761908.3875892,0.02033119388,2939419530.89426,9599
287,2021-02-24,647773334.940552,0.1519866321,4262041509.81746,25606
288,2022-07-23,6008003145.08515,0.8511153067,7058976730.86024,446288
289,2021-05-18,10979734108.4492,2.134444193,5144071766.77671,71795
290,2020-05-28,80831718.0339102,0.02473266338,3268217288.48433,3361
291,2020-06-12,65780460.1855754,0.02016966748,3261355708.67767,3362
292,2021-01-15,134232983.42925,0.03296913158,4071474648.59315,18864
293,2021-08-08,6078788900.07198,1.135595668,5352951820.22128,108186
294,2021-10-31,11838514510.2409,1.887065283,6273505542.12073,216792
295,2021-11-12,11087178188.8867,1.719582397,6447599259.3227,238356
296,2022-01-20,13581556129.5964,2.087590201,6505853554.68056,323451
297,2022-02-18,10629286534.1125,1.656349942,6417295201.76264,360445
298,2022-05-20,4366747254.20163,0.6487666017,6730844717.71088,417340
299,2021-01-08,130634654.357477,0.03201111619,4080915317.00909,18146
300,2021-04-22,1913612780.60552,0.3890651218,4918489665.041,59606
301,2021-04-21,1707221136.54144,0.3489310709,4892717442.10391,59086
302,2021-02-02,166135540.635553,0.03991134164,4162614780.43285,20651
303,2021-08-02,5663655113.70854,1.058198873,5352165136.60219,101533
304,2021-09-24,6552838071.55128,1.168791173,5606508866.33138,167258
305,2021-12-26,17759119044.6486,2.766445064,6419472873.84701,297069
306,2021-12-10,14480466124.1261,2.172405971,6665635391.58951,280512
307,2022-01-17,15056688808.1509,2.324869921,6476357524.74378,319403
308,2022-02-09,12766313773.0005,1.970383581,6479100767.97607,349449
309,2022-05-02,7115722495.5017,1.086613687,6548530156.45398,403933
310,2022-04-26,8580714876.96899,1.307304237,6563670976.45341,401988
311,2020-08-12,71970330.9394522,0.02430736966,2960844055.11801,7735
312,2022-06-11,3885811429.66552,0.5733359993,6777546559.89433,423845
313,2020-10-13,50251239.6504447,0.01777539405,2827011289.47536,11708
314,2020-08-29,79525779.9246615,0.02718350366,2925516184.66463,9592
315,2020-12-07,74853602.7164543,0.0193560012,3867203867.47297,15782
316,2021-02-17,457750616.757119,0.1066945532,4290290393.37702,23974
317,2020-08-06,63576080.8219135,0.02184716784,2910037643.3425,7157
318,2022-06-19,2522950471.94087,0.3520097657,7167274086.74434,430472
319,2021-01-31,160889427.60712,0.03892150806,4133689458.8237,21156
320,2020-06-17,68766317.1861332,0.02073959889,3315701405.6216,3575
321,2021-08-23,8477326835.28758,1.631526359,5195948436.09395,129729
322,2021-08-15,7650809599.13916,1.426918435,5361770801.44899,118200
323,2021-11-01,11968446447.3553,1.899153107,6301991348.01768,218520
324,2021-12-06,12682450180.3875,1.956069183,6483640910.19634,278738
325,2021-12-02,13537472351.2349,2.080893962,6505604128.31107,272120
326,2020-05-30,81876962.9761054,0.0250524845,3268217288.48433,3361
327,2021-12-29,16333470462.1021,2.543852773,6420760915.31697,303841
328,2022-01-05,15157832648.6962,2.36315217,6414243161.44345,320245
329,2022-03-30,10837686115.0364,1.679288305,6453737622.61399,386786
330,2022-04-12,9066618776.32767,1.382418165,6558521150.87774,393601
331,2022-05-06,6899786413.38416,1.05305425,6552166151.9579,405921
332,2020-11-15,64143368.5643608,0.01665739481,3850744327.2822,14004
333,2021-02-20,748074946.915951,0.1699580826,4401526160.91215,24520
334,2021-01-21,134123584.983826,0.03209519073,4178930921.65021,19567
335,2021-04-05,1728328844.50174,0.3595015637,4807569755.224,50257
336,2021-04-06,1802167154.08544,0.3744657297,4812635740.21219,50882
337,2022-07-19,6503764571.34761,0.919590742,7072455467.96871,444457
338,2022-05-25,4383203614.45651,0.6491095469,6752640806.92076,419145
339,2020-05-25,66420521.3444364,0.02032316565,3268217288.48433,3361
340,2021-06-06,7978129280.58708,1.55093662,5144071766.77671,71795
341,2021-07-31,5576925650.51562,1.043734204,5343243166.47081,99058
342,2022-01-10,13221915276.0279,2.073445457,6376784705.05501,327361
343,2022-02-26,9818328978.96505,1.540651018,6372844247.81725,370290
344,2020-11-13,63592969.5701367,0.01653964925,3844880178.69977,13769
345,2020-12-27,70744926.2848151,0.01879840478,3763347321.30691,16399
346,2021-02-28,793859329.3505,0.1975162364,4019210491.0355,28538
347,2021-04-01,1613958492.77592,0.3656324173,4414155901.84974,48089
348,2022-07-22,6297053963.00165,0.8902483843,7073367471.5952,446063
349,2022-03-24,10218536094.9853,1.592666365,6415992902.37935,382256
350,2021-06-11,6903298430.09564,1.341991081,5144071766.77671,71795
351,2021-08-01,5822155478.04526,1.088929667,5346677250.62184,100555
352,2021-09-01,7330213124.16291,1.39953207,5237617116.2762,136902
353,2022-01-04,15586062125.1438,2.429556915,6415187076.79708,317868
354,2020-06-30,60961832.9252221,0.01943101323,3137347095.77995,4547
355,2020-09-18,61301680.2851656,0.02045962009,2996227691.58507,9707
356,2021-01-25,144971086.990208,0.03444937155,4208236041.86614,19957
357,2021-04-23,1683085001.84479,0.3421276151,4919465507.68425,60126
358,2022-04-16,9101910960.22145,1.38747312,6560062913.23691,397103
359,2020-10-15,48356528.0122649,0.01710631505,2826823186.05566,11992
360,2020-05-24,67308668.216468,0.02059491835,3268217288.48433,3361
361,2021-10-04,7156066577.80952,1.276153091,5607529872.96256,177515
362,2021-10-25,10070609943.7692,1.634787173,6160196328.74768,203340
363,2021-11-14,11160211418.1233,1.731441279,6445619354.54832,241633
364,2021-12-23,16844887831.3053,2.613270115,6445903825.61205,291314
365,2020-06-04,70509683.511228,0.02157435607,3268217288.48433,3361
366,2020-05-16,64058099.255738,0.01960031834,3268217288.48433,3361
367,2022-03-09,9635134322.01499,1.506636634,6395128129.66959,374548
368,2022-05-19,4306828412.38012,0.6398644736,6730844717.71088,417340
369,2022-06-10,4238359220.77492,0.6252375287,6778798498.35522,423769
370,2022-07-13,3942626290.44333,0.5603201796,7036381043.83458,438782
371,2020-11-24,83664601.2263661,0.02153035389,3885890666.84793,15014
372,2021-01-09,131733703.282194,0.03228637839,4080163518.91603,18385
