,NEW_ADDRESS,MIN_DATE,CUMULATIVE_ADDRESS
739,57213,2022-07-11,14192418
740,53457,2022-07-12,14245875
741,43074,2022-07-13,14288949
742,39753,2022-07-14,14328702
743,37021,2022-07-15,14365723
744,28390,2022-07-16,14394113
745,29909,2022-07-17,14424022
746,43839,2022-07-18,14467861
747,38973,2022-07-19,14506834
748,35862,2022-07-20,14542696
749,63435,2022-07-21,14606131
750,38982,2022-07-22,14645113
751,38546,2022-07-23,14683659
752,35881,2022-07-24,14719540
753,36517,2022-07-25,14756057
754,31967,2022-07-26,14788024
755,44742,2022-07-27,14832766
756,40283,2022-07-28,14873049
757,39158,2022-07-29,14912207
758,40324,2022-07-30,14952531
759,38489,2022-07-31,14991020
760,46540,2022-08-01,15037560
761,33,2022-08-02,15037593
